# Large batch test — 500 active LOINC codes sampled across clinical domains
# Source: LOINC 2.82, ACTIVE status only
# Classes represented: chemistry, microbiology, hematology, drug/tox,
#   serology, allergy, radiology, H&P, panels, coagulation, urinalysis,
#   cardiology, respiratory, vital signs, pathology, and more

39129-2  # Moisture of Skin
71069-9  # Did your doctor-s explain the possible benefits of your treatment [FACIT]
1512-3  # Glucose [Mass/volume] in Serum or Plasma --1 minute post 0.5 g/kg glucose IV
33801-2  # E selectin [Mass/volume] in Serum or Plasma
90056-3  # Date and time lab result reported
75187-5  # Non-treponemal test was reactive [CDC.CS]
90103-3  # Emergency response plan identifier
63286-9  # Myelin Ab [Presence] in Body fluid by Immunofluorescence
74012-6  # Number of years alcohol consumed [Time]
74808-7  # von Willebrand factor (vWf).activity actual/normal in Platelet poor plasma by Immunoassay --immediately after 1:1 addition of normal plasma
77977-7  # Illness duration
8934-2  # Enteral tube site
95846-2  # Cell count and Differential panel - Sputum by Manual count
2491-9  # Inulin renal clearance in 24 hour Urine and Serum or Plasma
9278-3  # Breath rate special circumstances
8362-6  # Phase of heart cycle
102008-0  # ACTH heterophile Ab interference panel - Plasma
95801-7  # Immunoglobulin light chains.free and IFE panel - Urine
22876-7  # Border disease virus Ab [Units/volume] in Serum
18540-5  # Q-T interval Lead V3
9855-8  # Blood pressure special circumstances
46717-5  # Thrombin time.factor substitution immediately after addition of bovine thrombin in Platelet poor plasma by Coagulation assay
73552-2  # Drug induced platelet Ab [Interpretation] in Serum or Plasma Narrative
2833-2  # Pregnanediol [Mass/volume] in Urine
12513-8  # Bicarbonate [Moles/volume] in Water
34982-9  # Unidentified cells/Leukocytes in Peritoneal fluid
